Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
09-04-2025,22460.3,22468.7,22353.25,22399.15,383822618,28996.55,-0.606589057,0.011713691,22991.5825,22960.508,23397.89545,2025-04,"(-0.772, -0.419]",0%,10%,26104.2,22353.25
11-04-2025,22695.4,22923.9,22695.4,22828.55,402162001,33683.6,1.91703703,0.012479177,23008.115,22957.934,23392.202,2025-04,"(1.7, 2.053]",-1%,10%,26104.2,22695.4
15-04-2025,23368.35,23368.35,23207,23328.55,388321931,34216.17,2.190239853,0.013324268,23051.0175,22961.243,23391.57178,2025-04,"(2.053, 2.406]",0%,10%,26104.2,23207
16-04-2025,23344.1,23452.2,23273.05,23437.2,348424960,28102.36,0.465738334,0.013278501,23103.0175,22964.997,23392.01912,2025-04,"(0.288, 0.641]",0%,10%,26104.2,23273.05
17-04-2025,23401.85,23872.35,23298.55,23851.65,505333905,38450.09,1.768342635,0.013707514,23170.1625,22971.862,23396.48155,2025-04,"(1.7, 2.053]",-2%,10%,26104.2,23298.55
21-04-2025,23949.15,24189.55,23903.65,24125.55,406145632,33125.62,1.148348227,0.013591968,23234.725,22984.73,23403.49183,2025-04,"(0.994, 1.347]",-1%,10%,26104.2,23847.85
22-04-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29,0.1728458,0.013593895,23297.7075,23000.854,23410.76571,2025-04,"(-0.0656, 0.288]",0%,10%,26104.2,23847.85
23-04-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08,0.669087298,0.013441765,23354.6225,23012.648,23419.42783,2025-04,"(0.641, 0.994]",0%,10%,26104.2,23847.85
24-04-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29,-0.338074598,0.013460824,23399.4375,23023.656,23427.15935,2025-04,"(-0.419, -0.0656]",0%,10%,26104.2,23847.85
25-04-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86,-0.85516792,0.013384936,23418.4875,23032.376,23432.82778,2025-04,"(-1.125, -0.772]",1%,10%,26104.2,23847.85
28-04-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82,1.202819544,0.013613526,23451.48,23047.747,23441.04495,2025-04,"(0.994, 1.347]",-1%,10%,26104.2,23935.75
29-04-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88,0.030622521,0.013447266,23493.935,23066.834,23449.18045,2025-04,"(-0.0656, 0.288]",0%,10%,26104.2,23935.75
30-04-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48,-0.007191008,0.013439227,23531.0475,23092.082,23457.1536,2025-04,"(-0.0656, 0.288]",0%,10%,26104.2,23935.75
02-05-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27,0.051368033,0.013396861,23572.415,23118.111,23465.09598,2025-05,"(-0.0656, 0.288]",0%,10%,26104.2,23935.75
05-05-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36,0.470084241,0.012803963,23637.1875,23146.706,23473.91062,2025-05,"(0.288, 0.641]",0%,10%,26104.2,23935.75
06-05-2025,24500.75,24509.65,24331.8,24379.6,302354059,26481.15,-0.333385797,0.012830308,23689.55,23175.713,23481.85526,2025-05,"(-0.419, -0.0656]",0%,10%,26104.2,23935.75
07-05-2025,24233.3,24449.6,24220,24414.4,330137191,27648.34,0.142742293,0.012760048,23747.765,23204.811,23489.96435,2025-05,"(-0.0656, 0.288]",-1%,10%,26104.2,23935.75
08-05-2025,24431.5,24447.25,24150.2,24273.8,411362230,36893.06,-0.575889639,0.012259446,23816.2325,23231.381,23496.72155,2025-05,"(-0.772, -0.419]",1%,10%,26104.2,23935.75
09-05-2025,23935.75,24164.25,23935.75,24008,335550680,28942.61,-1.095007786,0.009658763,23908.5525,23252.883,23501.09145,2025-05,"(-1.125, -0.772]",0%,10%,26104.2,23935.75
12-05-2025,24420.1,24944.8,24378.85,24924.7,368707684,30362.27,3.818310563,0.012030654,24027.995,23293.114,23513.15593,2025-05,"(3.465, 3.818]",-2%,10%,26104.2,24337.5
13-05-2025,24864.05,24973.8,24547.5,24578.35,422977876,34576.66,-1.389585431,0.012530763,24136.955,23328.763,23522.10714,2025-05,"(-1.478, -1.125]",1%,10%,26104.2,24337.5
14-05-2025,24613.8,24767.55,24535.55,24666.9,345490805,25585.37,0.360276422,0.012061039,24228.8725,23371.034,23531.64708,2025-05,"(0.288, 0.641]",0%,10%,26104.2,24337.5
15-05-2025,24694.45,25116.25,24494.45,25062.1,500821889,44147.39,1.602147007,0.011665483,24315.55,23421.325,23544.29545,2025-05,"(1.347, 1.7]",-1%,10%,26104.2,24337.5
16-05-2025,25064.65,25070,24953.05,25019.8,432717092,43815.86,-0.168780749,0.011722907,24394.68,23470.82,23556.38975,2025-05,"(-0.419, -0.0656]",0%,10%,26104.2,24337.5
19-05-2025,25005.35,25062.95,24916.65,24945.45,255254340,21598.6,-0.297164646,0.011294503,24449.37,23527.235,23567.68293,2025-05,"(-0.419, -0.0656]",0%,10%,26104.2,24337.5
20-05-2025,24996.2,25010.35,24669.7,24683.9,414799113,31063.03,-1.0484878,0.011422326,24477.2875,23578.527,23576.68468,2025-05,"(-1.125, -0.772]",1%,10%,26104.2,24337.5
21-05-2025,24744.25,24946.2,24685.35,24813.45,332724952,23179.85,0.524836027,0.011457865,24509.5975,23633.143,23586.5788,2025-05,"(0.288, 0.641]",0%,10%,26104.2,24337.5
22-05-2025,24733.95,24737.5,24462.4,24609.7,403279638,30579.52,-0.821127252,0.011578354,24523.635,23678.591,23594.69881,2025-05,"(-1.125, -0.772]",1%,10%,26104.2,24337.5
23-05-2025,24639.5,24909.05,24614.05,24853.15,270470348,20200.73,0.989244079,0.011715549,24553.9575,23724.76,23604.60787,2025-05,"(0.641, 0.994]",-1%,10%,26104.2,24337.5
26-05-2025,24919.35,25079.2,24900.5,25001.15,302799227,20060.68,0.595497955,0.011520941,24602.0475,23773.733,23615.51836,2025-05,"(0.288, 0.641]",0%,10%,26104.2,24337.5
27-05-2025,24956.65,25062.9,24704.1,24826.2,525653668,33638.3,-0.699767811,0.011436737,24626.9325,23821.051,23624.90349,2025-05,"(-0.772, -0.419]",1%,10%,26104.2,24337.5
28-05-2025,24832.5,24864.25,24737.05,24752.45,684425321,37143.55,-0.297065197,0.01147174,24647.7575,23866.142,23633.57692,2025-05,"(-0.419, -0.0656]",0%,10%,26104.2,24337.5
29-05-2025,24825.1,24892.6,24677.3,24833.6,345370611,29730.05,0.327846334,0.011481097,24672.7275,23913.404,23642.7374,2025-05,"(0.288, 0.641]",0%,10%,26104.2,24337.5
30-05-2025,24812.6,24863.95,24717.4,24750.7,853890978,52247.87,-0.333821919,0.011523293,24692.9275,23960.474,23651.13106,2025-05,"(-0.419, -0.0656]",0%,10%,26104.2,24337.5
02-06-2025,24669.7,24754.4,24526.15,24716.6,311100908,25091.04,-0.137773881,0.011497498,24705.7,24004.631,23659.14211,2025-06,"(-0.419, -0.0656]",0%,10%,26104.2,24337.5
03-06-2025,24786.3,24845.1,24502.15,24542.5,349288937,28906.4,-0.704384907,0.01159352,24713.845,24038.795,23665.73433,2025-06,"(-0.772, -0.419]",1%,10%,26104.2,24337.5
04-06-2025,24560.45,24644.25,24530.45,24620.2,280862575,21907.07,0.316593664,0.011608169,24724.135,24073.047,23672.80444,2025-06,"(0.288, 0.641]",0%,10%,26104.2,24337.5
05-06-2025,24691.2,24899.85,24613.1,24750.9,388405978,30186.46,0.5308649,0.011558647,24747.99,24104.252,23680.73162,2025-06,"(0.288, 0.641]",0%,10%,26104.2,24337.5
